Product Name,Current Price,Old Price,Discount,Rating,Image URL,Mall Store
X7 Smart Watch Waterproof Watch For IOS  Android,"KSh 1,128","KSh 1,800",37%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bluetooth Earphones Button Control Noise Reduction Headset,KSh 700,"KSh 1,400",50%,1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
9D ANC True Noise Canceling Bluetooth Headphones,KSh 950,"KSh 1,800",47%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Tripod Suitable For Camera Phone Holder,"KSh 1,199","KSh 2,099",43%,2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Portable Tripod Adjusting Metal Stand,"KSh 1,370","KSh 1,930",29%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Desktop Foldable Telescopic Phone Holder,KSh 500,KSh 833,40%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Wireless Bluetooth Headphones HIFI Stereo Fingerprint Touch Earbuds,KSh 990,"KSh 1,800",45%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bluetooth 5.1 Headset Wireless Gamer Headset 9D HIFI Sound Effect-black,KSh 950,"KSh 1,790",47%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"C Idea 8 Inch Tablet,Android 12 Dual Camera Sim Red 256GB Adult Men Tablet With Case","KSh 7,999","KSh 14,999",47%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Wireless Gaming Earbuds in Ear HiFi Stereo Deep Bass Wireless Earphones with Noise Cancelling Mic Game Music Dual Mode,KSh 859,"KSh 1,500",43%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bluetooth 5.3 Bone Conduction Headphones Clip Ear Noise Canceling Headset Call Sports,KSh 770,"KSh 1,210",36%,4.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"TG157 LED Flashing Light Speaker, 1200mAh, Waterproof Subwoofer, FM Radio","KSh 1,819","KSh 2,463",26%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
C Idea 8 Inch Tablet  Android 12 Portable Light  Sim 256GB Adult  Tablet With Case Red,"KSh 7,999","KSh 14,999",47%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
10000mAh Portable Power Bank Solar With Light,"KSh 1,377","KSh 2,303",40%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Tecno POP 8,6.6"",4GB RAM+128GB ROM, Android 13,Dual Sim, 5000mAh- Amazing White (1YR WRTY)","KSh 12,999","KSh 17,999",28%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Qi Solar Powerbank 36000mah,"KSh 4,609","KSh 4,999",8%,4.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"RichRipple 1.83"" 3 Smart Watch Bands Gift Box Smart Watches","KSh 1,949","KSh 2,999",35%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
LASA USB C To USB C Cable 60W 3A Fast Charging Cable 1.2M,KSh 450,KSh 795,43%,4.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Kxd A09 - 6.6'' 128GB ROM, (4GB RAM+4GB Virtual RAM), 13MP Triple Camera - Black","KSh 10,799","KSh 17,000",36%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Lenovo XT88 Bluetooth 5.3 Earbuds Earphones Headset,"KSh 1,399","KSh 1,999",30%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Smart Watch  IP68 Waterproof 1.39inch 390*390HD,"KSh 2,399","KSh 2,990",20%,3.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo LP5 Noise Reduction Dynamic Driver Headset Grey,"KSh 1,398","KSh 2,599",46%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"C Idea Tablet 7-Inch, Android Dual Camera 32gb Storage, Adult Tablet Blue","KSh 6,999","KSh 13,000",46%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"OPPO Reno4 5G 8GB+128GB 6.4"" 4020mAh 48 MP Camera Dual Sim Smartphone - Black","KSh 14,990","KSh 29,000",48%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"1.98"" IPS Full Touch Smart Watch BT Call Sport Health Monitor For Men Ladies","KSh 2,140","KSh 3,269",35%,1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Color Screen Smart Watch Heart Rate Sport Bracelet,"KSh 1,200","KSh 3,000",60%,3.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Itel ISW-O11  Smart Watch Native Storm,"KSh 1,600","KSh 2,500",36%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Headphone Microphone Audio Splitter Adapter,KSh 299,KSh 498,40%,4.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo Firefly 2U 12W 2.4A Dual USB Fast Charger Kit +Type-C Cable,KSh 630,KSh 700,10%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Full Touch Screen Smart Watch - For Android & IOS,"KSh 1,799","KSh 2,599",31%,3.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo Thinkplus X15 Pro True Wireless BT Headphones,"KSh 1,299","KSh 1,999",35%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Hifinit Bluetooth Wireless Earphones Waterproof Headsets New Year Gift,KSh 639,KSh 973,34%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
FD68S New Smart Watch Wireless Touch Smart Watch,KSh 899,"KSh 1,699",47%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bone Conduction Wireless Bluetooth Earphone Sports Headset,KSh 943,"KSh 1,613",42%,3.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Phone Cooler, Cellphone Radiator With Cooling Fan",KSh 827,"KSh 1,416",42%,3.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Genetic 8h Playtime Wireless Bluetooth Earphones Earbuds Long Endurance,"KSh 1,280","KSh 1,899",33%,4.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bluetooth Earphones Wireless Headphones Headset,KSh 900,"KSh 1,500",40%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Infinix Note 40, 6.78"", 256GB + 8GB RAM (UPTO 16GB RAM), Dual SIM, 5000mAh, Titan Gold","KSh 28,499","KSh 50,000",43%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Oraimo Data Cable OCD-M53 2A 1M Black,KSh 100,KSh 200,50%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
A6S TWS Earbuds  Bluetooth Earphones In-Ear Headset For Sport Black,KSh 730,"KSh 1,200",39%,3.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo Necklace 4 Dual EQ Multiple Connection 50-hr Playtime Quick Charge Neckband Earphone,"KSh 1,180","KSh 2,200",46%,4.6 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Tripod Suitable For Camera Phone Holder,KSh 999,"KSh 1,899",47%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Qwen Wireless Earbuds Touch Control In-ear Bluetooth Headsets Music Earphones,KSh 650,"KSh 1,000",35%,2.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"C Idea 8 Inch Tablet,Android 12 Dual Camera Sim Pink 256GB Adult Men Tablet With Case","KSh 7,999","KSh 14,999",47%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
GUIXIA  A6S Wireless Headset Bluetooth Earphone True Bass,KSh 459,KSh 839,45%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo XT60 Bluetooth Headset  Wireless  Headphones Black,"KSh 2,199","KSh 3,499",37%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Wireless Open Ear Headphones With Charging Case Hanging Ear HIFI Sound Headset Sport Headset Earbuds,"KSh 1,099","KSh 1,800",39%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rotary Clip Mobile Phone Convenient Holder,KSh 350,KSh 500,30%,3.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
64GB Phone 10 SD Memory Driving Recorder TF Card,KSh 680,"KSh 1,194",43%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Kxd A09 - 6.6'' 128GB ROM, (4GB RAM+4GB Virtual RAM), 13MP Triple Camera - Dark Wild Green","KSh 10,799","KSh 17,000",36%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
（Buy The Whole Lot At Once）Metal Tripod Set.,"KSh 1,240","KSh 1,990",38%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Fingerprint Touch 5.0 Earphone Wireless HIFI Stereo Headsets,KSh 397,KSh 777,49%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Smart Watch Bluetooth Call Monitor Watch Sports Bracelet Smartwatch,"KSh 2,240","KSh 3,999",44%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset White,"KSh 1,059","KSh 1,999",47%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Universal Stents Adjustable Cell Phone Stand &Tablet Holder-(Blue),KSh 120,KSh 200,40%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Infinix Buds Lite XE23 Active Vocal Clear Earbuds - Black,"KSh 1,500","KSh 3,000",50%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Samsung Galaxy A05s, 6.7"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black, (1YR WRTY)","KSh 29,999",,,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Full Touch Smart Watch Sport Health Bluetooth Call,"KSh 1,590","KSh 2,999",47%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bone Conduction Wireless Bluetooth Headset Sport Waterproof,KSh 690,KSh 775,11%,4.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo Wireless Earphone OEB-E38S - Black,"KSh 1,100","KSh 1,298",15%,4.1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"P9 Wireless Bluetooth Headphones, Sports Game Type-C Stereo Headphones-White","KSh 1,459","KSh 1,985",26%,4.1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
F9-5C  Bluetooth Wireless Earphone + 2000mAh Battery Sports Earbuds White,KSh 799,"KSh 1,320",39%,3.6 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
T800 Ultra Smart Watch Life Waterproof Watch,"KSh 1,528","KSh 2,440",37%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Desk Tripod Phone Stand Holder Phone Bracket Green+Black,KSh 359,KSh 600,40%,3.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
ZL02 Smart Watch H Full S Reen Sport Fitness Black,"KSh 2,990","KSh 5,531",46%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Infinix Hot 40i, 6.56"", 256GB + 8GB, 5000 mAh, 4G, Dual SIM - Palm Blue (1YR WRTY)","KSh 18,429","KSh 29,999",39%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Full Touch Screen Smart Watch - For Android & IOS,KSh 751,"KSh 1,352",44%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
M10 Wireless Touch Control Bluetooth 5.3 Sport Gaming Headset Waterproof Earphone,KSh 500,"KSh 1,000",50%,3.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple RGB Portable Bluetooth Speaker AUX Audio TF Card 360 Surround Sound,"KSh 1,269","KSh 1,699",25%,3.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
SmartWatch Bluetooth Calls Fitness Bracelet Waterproof,"KSh 1,099","KSh 1,999",45%,1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Iworld Fast Charging 3.1A, 1.2m Lightning Cable - White",KSh 250,,,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Ace Elec Apods Pro2 Wireless Fingerprint Touch Bluetooth Headset,KSh 699,"KSh 1,244",44%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Macaroon Bluetooth Wireless Earphones Headsets New Year Gift-PINK,KSh 650,KSh 840,23%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Tecno POP 8, 6.6"", 3GB RAM + 64GB, 13MP, 4G,Android 13, 5000MAh - Black Gravity (1YR WRTY)","KSh 11,599","KSh 15,999",28%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Realme C51 6.74'' 4GB RAM 128GB ROM Android 13,"KSh 14,824","KSh 21,588",31%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Bluetooth Adapter Dongle, Micro Adapter Dongle Bluetooth USB",KSh 367,KSh 611,40%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo Firefly 2U 12W 2.4A Dual USB Fast Charger Kit With Micro Cable,KSh 365,KSh 600,39%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Oraimo MagPower 5000mAh Magnetic Wireless Charging Power Bank-Grey,"KSh 4,320","KSh 7,000",38%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
GT20 Smart Watch 1.99 Inch Heart Rate IP67 Waterproof Sports Watch,"KSh 1,850","KSh 3,247",43%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Full Touch Screen Smart Watch - For Android & IOS,"KSh 1,049","KSh 1,999",48%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Infinix Smart 8, 6.6"", 64GB + 3GB RAM, 5000mAh, 4G, DUAL SIM - Dark Timber Black (1YR WRTY)","KSh 13,999","KSh 15,999",13%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
HD Bluetooth Call Smart Watch Sport Fitness Tracker Heart Rate Smartwatch,"KSh 2,150","KSh 3,557",40%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo LP1S Bluetooth Headsets True Wireless Earbuds Noise Reduction -Black,"KSh 1,679","KSh 3,235",48%,4.1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
New Fashion Women Men Universal Electronic Smart Watch DZ09,"KSh 1,690","KSh 2,560",34%,3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Smart Watch Full Touch Screen Watch - For Android & IOS,"KSh 1,199","KSh 2,058",42%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo HE05 Headset Bluetooth 5.0 Wireless Magnetic Neck,KSh 498,KSh 957,48%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Convenient Phone Stand Adjustable Swivel Ultra-light Desktop Metal Tablet Stand,KSh 288,KSh 555,48%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo LP75 BT5.3 True Headset With Mic BLACK,"KSh 2,790","KSh 3,299",15%,4.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bluetooth Headset Wireless Stereo Earphone 2200mAh,KSh 942,"KSh 1,643",43%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo OCD-C56 Udon 2 2M 2A Faster Charging,KSh 220,KSh 380,42%,4.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Bluetooth Earphone Wireless Four-generation,KSh 692,KSh 878,21%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
F9 Wireless Bluetooth Earphone Stereo Fingerprint Touch,KSh 499,KSh 980,49%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Infinix Hot 40i, 6.56"", 256GB + 8GB, 5000 mAh, 4G, Dual SIM - Horizon Gold (1YR WRTY)","KSh 18,429","KSh 32,999",44%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Xdobo Portable Speaker Bluetooth 80w With RGB Light Square Dance,"KSh 7,776","KSh 10,044",23%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo XT90 Wireless Headsets In-ear Sweatproof Black,"KSh 1,059","KSh 1,463",28%,4.1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Genetic Open Ear Clip Wireless Bluetooth Headphones Bone Conduction,KSh 899,"KSh 1,699",47%,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Smart Watch Bluetooth Calling 1.39inch HD,"KSh 3,799","KSh 4,990",24%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
M90 Pro Wireless Headphones High Quality Sports Stereo Earbuds,KSh 869,"KSh 1,564",44%,1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo LP40 Pro TWS Bluetooth Headphones L Earbuds Wireless Headset With Mic Green,"KSh 1,079","KSh 1,974",45%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo PowerGaN 45 45W Charger Kit With Type-C To Type-C,"KSh 3,500","KSh 5,000",30%,4.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Oraimo Data Cable OCD-C54P 3A 1.5M Black,KSh 255,KSh 460,45%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Buletooth Speaker Wireless Subwoofer Outdoor Portable Bass,KSh 899,"KSh 1,299",31%,3.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Att AT&T In Ear Earphones Sound Headsets Noise Cancelling HD Binaural Call Earbuds-Skyblue,KSh 389,KSh 599,35%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo XT62 Headset Bluetooth 5.3 Low Latency,"KSh 1,059","KSh 1,837",42%,4.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo Shark 4 Wireless Headphones,"KSh 2,100","KSh 3,000",30%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Xdobo Portable Bluetooth Speaker Deep Bass IPX5 X8 60W For Outdoor,"KSh 5,978","KSh 6,642",10%,3.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
G11 In-ear Wireless Sports Headset  Gaming Headset,KSh 656,"KSh 1,015",35%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
V8 Headphones Earpiece Bluetooth Wireless Headset,KSh 999,"KSh 1,665",40%,3.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
TWS Portable Motorcycle/ Bike Wireless Bluetooth Speaker -Black,"KSh 1,299","KSh 2,299",43%,5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
45W Fast Charger  Digital Display 2PD+2USB UK Wall Charger,KSh 650,"KSh 1,255",48%,1.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bluetooth Earphones Over-ear Foldable Wireless Headphones Noise Cancellati HIFI,KSh 895,"KSh 1,666",46%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
SKY-10 Bluetooth 5.0 Earphone 2200mAh Charging,KSh 900,"KSh 1,700",47%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
