Product Name,Current Price,Old Price,Discount,Rating,Image URL,Mall Store
Mirror Face 10000mAh Portable Power Charging Bank,KSh 790,"KSh 1,201",34%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
GUIXIA Tws Wireless Bluetooth Headsets Earphones Inpods12,KSh 399,KSh 754,47%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Qwen Wireless Earbuds Bluetooth Headset Touch Control Earphones With Digital Led Display,KSh 580,"KSh 1,000",42%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,KSh 670,"KSh 1,249",46%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Huawei Y7 Pro 4G LTE Mobile Phone 4GB + 128GB Dual Camera 6.26"" 4000mah","KSh 8,999","KSh 17,000",47%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
GUIXIA Tws Wireless Bluetooth Headsets Earphones Pro4,KSh 459,KSh 826,44%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 529,KSh 826,36%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Fast Charging 10000mAh Power Charging Bank Black,KSh 790,"KSh 1,150",31%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"XIAOMI Redmi 12C, 6.71'' ,3GB+64GB, 50MP, 5000mAh, 4G, Dual Sim - Lavender Purple","KSh 11,899","KSh 17,999",34%,4.6 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple 6A 120w Super Fast Charge 3in1 USB Charging Cable,KSh 289,KSh 419,31%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
General Electric DCQ D2 Power Banks 20000 MAh,"KSh 1,350","KSh 2,521",46%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple 4in1 Pack Phone Camera Tripod Stand 1/4 Screw Head Remote Control Selfie,KSh 989,"KSh 1,499",34%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Qwen Bluetooth Earbuds Wireless Music Earphone Gaming Headsets Noise Canceling Sports Headphones,KSh 600,"KSh 1,000",40%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
RichRipple Neckband Wireless Bluetooth  Sports Type-C Earphone-Black,KSh 359,KSh 599,40%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple Desktop Mobile Phone Holder Portable Foldable Phone Stands,KSh 249,KSh 399,38%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple Grey Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 469,KSh 754,38%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Oraimo Smartwatch Lite  1.69'' TFT With Call & Message Reminder, 61 Sport Modes-Black 1YR WRTY","KSh 3,499","KSh 4,500",22%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Wireless Headset Bluetooth Earphone,KSh 560,KSh 990,43%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,KSh 530,KSh 955,45%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Remote Bluetooth Selfie Stick +Tripod Stand + Fill Light  Multiple Function,KSh 580,KSh 987,41%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo Thinkplus LP40 Bluetooth Earphones  Lenovo Earbuds For Android IOS,KSh 999,"KSh 1,799",44%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple T900 Ultra 2 Smart Watch Band Bluetooth Call Smart Watches,"KSh 1,499","KSh 1,929",22%,3.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
RichRipple 3-Cables Portable Power Bank 20000mAh Fast Charger,"KSh 1,599","KSh 1,837",13%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
GUIXIA  Tws Wireless Bluetooth Headsets Earphones Inpods12,KSh 459,KSh 754,39%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Tecno Spark 20, 6.6"", 128GB + 8GB RAM (4GB+4GB Extended), 50MP, 5000mAh, Cyber White","KSh 14,799","KSh 19,999",26%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple Pro6 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 599,"KSh 1,009",41%,3.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds,"KSh 2,100","KSh 2,508",16%,4.6 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Tecno Pop 7, 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual SIM) 5000MAh - Endless Black (1YR WRTY)","KSh 10,599","KSh 14,999",29%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,"KSh 7,399","KSh 12,794",42%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple T500+PRO 2 Smart Watch Band Health Monitor Smart Watches,"KSh 1,399","KSh 1,929",27%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
RichRipple 4 Ultra Smart Watch Bands Gift Box Smart Watches,"KSh 1,799","KSh 3,307",46%,3.6 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 mAh, 4G, Dual SIM - Horizon Gold (1YR WRTY)","KSh 12,699","KSh 18,999",33%,4.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Fast Charging 20000mAh Power Charging Bank Black,"KSh 1,217","KSh 1,678",27%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
V9 Wireless Bluetooth Earphone/Bluetooth Headphone,KSh 434,KSh 711,39%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo FreePods 3C ENC Calling Noise Cancellation Long Playtime True Wireless Earbuds-Black,"KSh 3,099","KSh 5,000",38%,4.6 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Infinix Smart 8, 6.6"", 128GB + 4GB RAM, 5000mAh, 4G (Dual SIM) - Timber Black (1YR WRTY)","KSh 12,124","KSh 17,999",33%,4.1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
